year,Zip Code,Number of Crimes,Crime Rate
2016,78745,7102,6.347872720772256
2016,78746,1627,1.4542366821594566
2016,78747,805,0.7195209152663568
2016,78748,3780,3.378619949946371
2016,78749,2020,1.8055058991776902
2016,78750,1232,1.1011798355380764
2016,78751,3012,2.6921701823382196
2016,78752,3608,3.2248838040757954
2016,78753,8808,7.872720772255988
2016,78754,1260,1.1262066499821237
2016,78756,812,0.7257776188773687
2016,78757,2529,2.2604576331784054
2016,78758,8072,7.214873078298177
2016,78759,3020,2.6993207007508047
2017,78610,4,0.0036860244383420263
2017,78613,515,0.4745756464365359
2017,78617,1018,0.9380932195580456
2017,78641,1,0.0009215061095855066
2017,78652,45,0.04146777493134779
2017,78653,124,0.1142667575886028
2017,78660,483,0.4450874509297997
2017,78664,2,0.0018430122191710131
2017,78681,12,0.011058073315026078
2017,78701,8332,7.6779889050664405
2017,78702,5258,4.8452791242005935
2017,78703,1589,1.4642732081313699
2017,78704,7060,6.505833133673676
2017,78705,2307,2.1259145948137634
2017,78712,13,0.011979579424611586
2017,78717,910,0.8385705597228109
2017,78719,906,0.8348845352844689
2017,78721,1933,1.781271309828784
2017,78722,827,0.7620855526272139
2017,78723,5762,5.3097182034316885
2017,78724,1873,1.725980943253654
2017,78725,202,0.18614423413627232
2017,78726,662,0.6100370445456053
2017,78727,1793,1.6522604544868134
2017,78728,73,0.06726994599974197
2017,78729,1795,1.6541034667059842
2017,78730,161,0.14836248364326654
2017,78731,1169,1.0772406421054572
2017,78732,11,0.010136567205440573
2017,78733,9,0.008293554986269559
2017,78734,4,0.0036860244383420263
2017,78735,808,0.7445769365450893
2017,78736,256,0.23590556405388968
2017,78737,6,0.005529036657513039
2017,78738,3,0.0027645183287565195
2017,78739,305,0.2810593634235795
2017,78741,8970,8.265909802981994
2017,78742,169,0.15573453251995062
2017,78744,6320,5.823918612580401
2017,78745,6964,6.417368547153468
2017,78746,1405,1.2947160839676368
2017,78747,753,0.6938941005178864
2017,78748,3552,3.27318970124772
2017,78749,1828,1.684513168322306
2017,78750,1381,1.2725999373375845
2017,78751,2746,2.530455776921801
2017,78752,3866,3.562542619657568
